Observer	STREET	TB_number (in the street)	DATE	Real name of the street	TB_tree	TB_soil/grill	TB_taxa
CESCO	RBER	77	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca muralis
CESCO	RBER	100	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca muralis
CESCO	POMM	10	13/05/14	rue de Pommard	Tilia sp.	grill	Lactuca serriola
CESCO	POMM	18	13/05/14	rue de Pommard	Tilia sp.	grill	Lactuca serriola
CESCO	POMM	19	13/05/14	rue de Pommard	Tilia sp.	grill	Lactuca serriola
CESCO	POMM	30	13/05/14	rue de Pommard	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	3	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	4	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	11	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	14	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	15	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	16	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	17	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	19	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	21	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	23	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	24	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	26	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	27	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	28	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	29	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	30	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	31	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
CESCO	RBER	34	13/05/14	rue de Bercy	Tilia sp.	grill	Lactuca serriola
