PA_voie;PA_numérobis;COORD_X;COORD_Y
DAUM;104;603013.349135;127295.033531
DAUM;105;603017.469656;127291.911924
DAUM;106;603021.465312;127288.790318
DAUM;107;603025.710697;127285.543847
DAUM;108;603029.456625;127282.921698
DAUM;109;603033.327417;127280.424412
DAUM;110;603043.316557;127273.182285
DAUM;111;603048.311128;127269.561222
DAUM;112;603053.180834;127265.940159
DAUM;113;603058.050540;127262.319095
DAUM;114;603062.171060;127259.197489
DAUM;115;603071.785608;127252.205090
DAUM;116;603076.780178;127248.584027
DAUM;117;603081.525020;127245.212692
DAUM;118;603090.764975;127238.220293
DAUM;119;603095.384953;127234.973823
DAUM;120;603100.379523;127231.477623
DAUM;121;603110.868121;127224.110632
DAUM;122;603115.238370;127220.614433
DAUM;123;603119.608619;127217.492826
DAUM;124;603129.472895;127210.375564
DAUM;125;603139.337172;127203.508030
DAUM;126;603143.332828;127200.011830
DAUM;127;603158.441403;127189.148640
DAUM;128;603169.304593;127181.282192
DAUM;129;603173.924571;127178.160585
DAUM;130;603178.294820;127174.914115
DAUM;131;603187.409911;127167.921716
DAUM;132;603206.139550;127154.311512
DAUM;133;603225.368645;127140.326715
DAUM;134;603229.738894;127137.080244
DAUM;135;603235.108057;127133.084588
DAUM;136;603239.852899;127129.588389
DAUM;137;603244.722605;127126.217054
DAUM;138;603249.467447;127122.471126
DAUM;139;603254.836610;127118.725198
DAUM;140;603258.832266;127115.853321
DAUM;141;603263.452244;127112.731714
DAUM;142;603268.321950;127108.860922
DAUM;143;603273.066792;127105.364723
DAUM;144;603277.811634;127101.868524
DAUM;145;603282.681340;127098.372324
DAUM;146;603286.801860;127095.250718
DAUM;147;603341.866998;127055.543884
DAUM;148;603346.112383;127052.297413
DAUM;149;603350.108039;127049.425535
DAUM;150;603354.353424;127046.179065
DAUM;151;603358.723673;127042.932594
DAUM;152;603363.093922;127039.686123
DAUM;153;603367.339306;127036.689381
DAUM;154;603371.584691;127033.942367
DAUM;155;603379.451139;127028.198612
DAUM;156;603383.571660;127025.077005
DAUM;157;603387.567316;127022.080263
DAUM;158;603391.687837;127019.083521
DAUM;159;603400.053742;127012.840308
DAUM;160;603404.049398;127010.093294
DAUM;161;603408.045055;127006.971688
DAUM;162;603412.040711;127003.974945
DAUM;163;603420.281752;126997.981461
DAUM;164;603436.888698;126985.869628
DAUM;165;603428.522793;126991.987977
DAUM;166;603440.759490;126982.997750
DAUM;167;603448.750803;126977.253994
DAUM;168;603469.353405;126962.395148
DAUM;169;603477.219853;126956.901120
DAUM;170;603485.460894;126950.782772
DAUM;171;603493.701935;126944.664423
DAUM;172;603501.443519;126938.920667
DAUM;173;603505.564040;126936.048789
DAUM;174;603509.684560;126933.052047
DAUM;175;603514.054809;126929.930441
DAUM;176;603517.675873;126927.058563
DAUM;177;603522.170986;126923.812092
DAUM;178;603526.416371;126920.565621
DAUM;179;603530.412027;126917.568879
DAUM;180;603534.282819;126914.821865
DAUM;181;603538.528204;126911.825123
DAUM;182;603542.398996;126908.953245
