STREET,TB_number (in the street),TB_tree,TB_soil/grill
CHAR,88,Platanus x acerifolia,soil
CHAR,88,Platanus x acerifolia,soil
CHAR,88,Platanus x acerifolia,soil
CHAR,88,Platanus x acerifolia,soil
CHAR,88,Platanus x acerifolia,soil
CHAR,88,Platanus x acerifolia,soil
CHAR,89,Platanus x acerifolia,soil
CHAR,89,Platanus x acerifolia,soil
CHAR,89,Platanus x acerifolia,soil
CHAR,90,Platanus x acerifolia,soil
CHAR,90,Platanus x acerifolia,soil
CHAR,90,Platanus x acerifolia,soil
CHAR,90,Platanus x acerifolia,soil
CHAR,91,Platanus x acerifolia,soil
CHAR,91,Platanus x acerifolia,soil
CHAR,91,Platanus x acerifolia,soil
CHAR,91,Platanus x acerifolia,soil
CHAR,92,Platanus x acerifolia,soil
CHAR,93,Platanus x acerifolia,soil
CHAR,94,Platanus x acerifolia,soil
CHAR,95,Platanus x acerifolia,soil
CHAR,96,Platanus x acerifolia,soil
CHAR,97,Platanus x acerifolia,soil
CHAR,98,Platanus x acerifolia,soil
CHAR,100,Platanus x acerifolia,soil
CHAR,101,Platanus x acerifolia,soil
CHAR,102,Platanus x acerifolia,soil
CHAR,102,Platanus x acerifolia,soil
CHAR,103,Platanus x acerifolia,soil
CHAR,103,Platanus x acerifolia,soil
CHAR,104,Platanus x acerifolia,soil
CHAR,105,Platanus x acerifolia,soil
CHAR,105,Platanus x acerifolia,soil
CHAR,106,Platanus x acerifolia,soil
CHAR,107,Platanus x acerifolia,(na)
CHAR,108,Platanus x acerifolia,soil
CHAR,108,Platanus x acerifolia,soil
CHAR,108,Platanus x acerifolia,soil
CHAR,108,Platanus x acerifolia,soil
CHAR,108,Platanus x acerifolia,soil
CHAR,109,Platanus x acerifolia,soil
CHAR,109,Platanus x acerifolia,soil
CHAR,109,Platanus x acerifolia,soil
CHAR,109,Platanus x acerifolia,soil
CHAR,110,Platanus x acerifolia,soil
CHAR,110,Platanus x acerifolia,soil
CHAR,111,Platanus x acerifolia,soil
CHAR,112,Platanus x acerifolia,soil
CHAR,112,Platanus x acerifolia,soil
CHAR,112,Platanus x acerifolia,soil
CHAR,112,Platanus x acerifolia,soil
CHAR,112,Platanus x acerifolia,soil
CHAR,113,Platanus x acerifolia,soil
CHAR,113,Platanus x acerifolia,soil
CHAR,113,Platanus x acerifolia,soil
CHAR,113,Platanus x acerifolia,soil
CHAR,113,Platanus x acerifolia,soil
CHAR,113,Platanus x acerifolia,soil
CHAR,113,Platanus x acerifolia,soil
CHAR,113,Platanus x acerifolia,soil
CHAR,114,Platanus x acerifolia,soil
CHAR,114,Platanus x acerifolia,soil
CHAR,114,Platanus x acerifolia,soil
CHAR,114,Platanus x acerifolia,soil
CHAR,114,Platanus x acerifolia,soil
CHAR,114,Platanus x acerifolia,soil
CHAR,115,Platanus x acerifolia,soil
CHAR,115,Platanus x acerifolia,soil
CHAR,115,Platanus x acerifolia,soil
CHAR,115,Platanus x acerifolia,soil
CHAR,115,Platanus x acerifolia,soil
CHAR,116,Platanus x acerifolia,soil
CHAR,116,Platanus x acerifolia,soil
CHAR,116,Platanus x acerifolia,soil
CHAR,116,Platanus x acerifolia,soil
CHAR,116,Platanus x acerifolia,soil
CHAR,117,Platanus x acerifolia,soil
CHAR,117,Platanus x acerifolia,soil
CHAR,117,Platanus x acerifolia,soil
CHAR,118,Platanus x acerifolia,soil
CHAR,118,Platanus x acerifolia,soil
CHAR,119,Platanus x acerifolia,soil
CHAR,119,Platanus x acerifolia,soil
CHAR,119,Platanus x acerifolia,soil
CHAR,119,Platanus x acerifolia,soil
CHAR,120,Platanus x acerifolia,soil
CHAR,120,Platanus x acerifolia,soil
CHAR,121,Platanus x acerifolia,soil
CHAR,121,Platanus x acerifolia,soil
CHAR,122,Platanus x acerifolia,soil
CHAR,122,Platanus x acerifolia,soil
CHAR,122,Platanus x acerifolia,soil
CHAR,122,Platanus x acerifolia,soil
CHAR,123,Platanus x acerifolia,soil
CHAR,123,Platanus x acerifolia,soil
CHAR,123,Platanus x acerifolia,soil
CHAR,123,Platanus x acerifolia,soil
CHAR,124,Platanus x acerifolia,soil
CHAR,124,Platanus x acerifolia,soil
CHAR,124,Platanus x acerifolia,soil
CHAR,125,Platanus x acerifolia,soil
CHAR,125,Platanus x acerifolia,soil
CHAR,126,Platanus x acerifolia,soil
CHAR,126,Platanus x acerifolia,soil
CHAR,126,Platanus x acerifolia,soil
CHAR,126,Platanus x acerifolia,soil
CHAR,126,Platanus x acerifolia,soil
CHAR,127,Platanus x acerifolia,soil
CHAR,127,Platanus x acerifolia,soil
CHAR,127,Platanus x acerifolia,soil
CHAR,128,Platanus x acerifolia,soil
CHAR,128,Platanus x acerifolia,soil
CHAR,128,Platanus x acerifolia,soil
CHAR,128,Platanus x acerifolia,soil
CHAR,129,Platanus x acerifolia,soil
CHAR,129,Platanus x acerifolia,soil
CHAR,129,Platanus x acerifolia,soil
CHAR,130,Platanus x acerifolia,soil
CHAR,130,Platanus x acerifolia,soil
CHAR,130,Platanus x acerifolia,soil
CHAR,131,Platanus x acerifolia,soil
CHAR,131,Platanus x acerifolia,soil
CHAR,132,Platanus x acerifolia,soil
CHAR,132,Platanus x acerifolia,soil
CHAR,132,Platanus x acerifolia,soil
CHAR,133,Platanus x acerifolia,soil
CHAR,134,Platanus x acerifolia,soil
CHAR,134,Platanus x acerifolia,soil
CHAR,134,Platanus x acerifolia,soil
CHAR,134,Platanus x acerifolia,soil
CHAR,134,Platanus x acerifolia,soil
CHAR,135,Platanus x acerifolia,soil
CHAR,135,Platanus x acerifolia,soil
CHAR,135,Platanus x acerifolia,soil
CHAR,136,Platanus x acerifolia,soil
CHAR,137,Platanus x acerifolia,soil
CHAR,137,Platanus x acerifolia,soil
CHAR,141,Sorbus sp. ?,grill
CHAR,143,Sorbus sp. ?,grill
CHAR,143,Sorbus sp. ?,grill
CHAR,143,Sorbus sp. ?,grill
CHAR,143,Sorbus sp. ?,grill
CHAR,143,Sorbus sp. ?,grill
CHAR,143,Sorbus sp. ?,grill
DAUM,1,Platanus x acerifolia,soil
DAUM,2,Platanus x acerifolia,soil
DAUM,5,Platanus x acerifolia,soil
DAUM,5,Platanus x acerifolia,soil
DAUM,5,Platanus x acerifolia,soil
DAUM,11,Platanus x acerifolia,soil
DAUM,11,Platanus x acerifolia,soil
DAUM,12,Platanus x acerifolia,soil
DAUM,13,Platanus x acerifolia,soil
DAUM,13,Platanus x acerifolia,soil
DAUM,14,Platanus x acerifolia,soil
DAUM,15,Platanus x acerifolia,soil
DAUM,16,Platanus x acerifolia,soil
DAUM,16,Platanus x acerifolia,soil
DAUM,16,Platanus x acerifolia,soil
DAUM,16,Platanus x acerifolia,soil
DAUM,17,Platanus x acerifolia,soil
DAUM,18,Platanus x acerifolia,soil
DAUM,19,Platanus x acerifolia,soil
DAUM,20,Platanus x acerifolia,soil
DAUM,21,Platanus x acerifolia,soil
DAUM,23,Platanus x acerifolia,soil
DAUM,23,Platanus x acerifolia,soil
DAUM,24,Platanus x acerifolia,soil
DAUM,24,Platanus x acerifolia,soil
DAUM,25,Platanus x acerifolia,soil
DAUM,26,Platanus x acerifolia,soil
DAUM,26,Platanus x acerifolia,soil
DAUM,26,Platanus x acerifolia,soil
DAUM,27,Platanus x acerifolia,soil
DAUM,27,Platanus x acerifolia,soil
DAUM,27,Platanus x acerifolia,soil
DAUM,27,Platanus x acerifolia,soil
DAUM,28,Platanus x acerifolia,soil
